ROBOT,anger,disgust,fear,happiness,sadness,surprise,neutral
0,0.01434192,0.026768291,0.033217583,0.202377647,0.05642505,0.060060028,0.606809556
30,0.014639397,0.026588809,0.030757787,0.182946801,0.061115239,0.058163967,0.625787973
60,0.014472674,0.027004104,0.048859961,0.184439853,0.061178017,0.072690323,0.591355026
90,0.023835706,0.011239627,0.090261035,0.373264909,0.009147221,0.39427799,0.097973563
120,0.023385935,0.012252778,0.099289075,0.394843608,0.010243676,0.347856969,0.112127893
150,0.028480744,0.015813379,0.094459072,0.346062779,0.014915765,0.379898757,0.120369554
180,0.02834207,0.015558016,0.091714062,0.359746367,0.015330365,0.368436337,0.120872736
210,0.029781321,0.016848382,0.09430439,0.299706906,0.015007772,0.426671803,0.117679387
240,0.02355214,0.034473319,0.02901439,0.15607442,0.065014258,0.069643281,0.622228205
270,0.022601631,0.035767671,0.034188613,0.121767983,0.079818465,0.072027378,0.633828282
300,0.020136235,0.031977598,0.033762041,0.121275336,0.06973391,0.085650258,0.637464583
330,0.018427152,0.03616219,0.040111136,0.107771665,0.091094658,0.084547415,0.621885777
360,0.019644601,0.036405317,0.054778267,0.114720829,0.099523313,0.093772307,0.58115536
390,0.035784435,0.025845369,0.046909552,0.521420836,0.019024014,0.21271725,0.138298556
420,0.022634644,0.012022579,0.086105622,0.412759125,0.010242015,0.344378024,0.111858018
450,0.02740567,0.013974296,0.069077052,0.424741894,0.01102109,0.336595148,0.117184959
480,0.029863657,0.013772145,0.067111954,0.44670856,0.011256962,0.320162892,0.111123897
510,0.031925518,0.015888263,0.076458722,0.386078179,0.01650087,0.34070918,0.132439271
540,0.031824995,0.015217253,0.056117188,0.408257902,0.011972299,0.336873025,0.139737412
570,0.020686056,0.034724131,0.03066721,0.120999388,0.075230986,0.067003235,0.650688946
600,0.023685653,0.035585321,0.037400186,0.133680925,0.068279594,0.074768335,0.626599967
630,0.023899905,0.03893327,0.040715627,0.120995559,0.079342045,0.075478591,0.620634973
660,0.021277888,0.03623911,0.027980177,0.120413363,0.070471898,0.071076401,0.65254122
690,0.018456217,0.036521938,0.048897639,0.108803801,0.096511185,0.089728296,0.601080954
720,0.028965337,0.013271311,0.076056182,0.415212512,0.012984223,0.337710857,0.115799628
750,0.023648296,0.012341106,0.088092595,0.399039894,0.009135798,0.362784445,0.104957841
780,0.023258038,0.013486139,0.067035042,0.440547884,0.011401393,0.310995638,0.133275911
810,0.024635978,0.014418236,0.093716271,0.319373012,0.015195411,0.410015821,0.122645319
840,0.039250214,0.017341897,0.081637822,0.371972054,0.013155328,0.355849087,0.120793633
870,0.020723283,0.035392653,0.03205213,0.142178655,0.068223514,0.071221419,0.630208313
900,0.019964153,0.034746252,0.032856427,0.112070508,0.075883552,0.065923929,0.65855515
930,0.022417439,0.037179541,0.04284298,0.108785994,0.079720609,0.074862085,0.634191394
