ME,anger,disgust,fear,happiness,sadness,surprise,neutral
0,0.003621835,0.013258593,1.30E-05,0.051783666,0.008244901,0.001186922,0.921891093
30,0.003527453,0.013249932,1.29E-05,0.041273057,0.00909782,0.001182426,0.931656361
60,0.005975799,0.012499147,1.38E-05,0.074184105,0.012467421,0.000820137,0.894039571
90,0.030748764,0.038085483,0.006844124,0.04550568,0.037941847,0.092193745,0.748680294
120,0.075900353,0.008734662,0.550883532,0.001005142,0.005617101,0.356814861,0.001044275
150,0.163217708,0.010845907,0.443925411,0.002834127,0.00933234,0.368106574,0.001737927
180,0.172608152,0.011801469,0.418878525,0.003829583,0.011110147,0.379197568,0.002574555
210,0.154415578,0.015713122,0.358703852,0.005525444,0.010547448,0.451111227,0.003983364
240,0.142829195,0.010245225,0.491641879,0.001508555,0.0057917,0.34669435,0.001289092
270,0.129537806,0.006961252,0.452551603,0.002019503,0.00172785,0.406566948,0.000634923
300,0.016405966,0.036880892,0.00024911,0.066278525,0.029857082,0.004743923,0.845584452
330,0.016408229,0.035858944,0.000200766,0.065630794,0.03322538,0.003692844,0.844983041
360,0.010287349,0.027191669,0.000164669,0.071246974,0.032796744,0.002991686,0.85532093
390,0.005360691,0.01988769,4.39E-05,0.050794072,0.043585449,0.002727911,0.877600253
420,0.123918235,0.014927045,0.481011957,0.001389507,0.019401778,0.356551945,0.002799645
450,0.193409994,0.01450482,0.454892784,0.002456219,0.015483583,0.316708148,0.002544443
480,0.211374655,0.016915129,0.451732039,0.002648764,0.019181097,0.295166582,0.002981719
510,0.139529213,0.007233593,0.520778477,0.000628416,0.005389106,0.32572791,0.000713222
540,0.176048532,0.008960053,0.516133249,0.000575614,0.005550995,0.291814983,0.000916604
570,0.142433852,0.005818225,0.491813421,0.000920457,0.002468968,0.355929434,0.000615574
600,0.023564611,0.036376845,0.000293233,0.080153704,0.026874533,0.006873859,0.825863183
630,0.014600746,0.033205587,0.00034273,0.062110204,0.024508122,0.00665453,0.858578026
660,0.017473219,0.038200151,0.000286117,0.062227868,0.019884706,0.005236879,0.856691003
690,0.005968017,0.025391666,2.28E-05,0.028938312,0.026621945,0.001489437,0.911567807
720,0.15979977,0.014491061,0.360739827,0.011317079,0.030329611,0.414990783,0.008331774
750,0.128371298,0.024507904,0.275455654,0.031462576,0.142308593,0.373894334,0.023999684
780,0.148516864,0.023066318,0.264994413,0.036995579,0.132014647,0.374621183,0.019791046
810,0.131432161,0.012353039,0.352508932,0.021094104,0.043766268,0.430037439,0.008808081
840,0.150923848,0.015712839,0.355781794,0.011412214,0.064992949,0.393348694,0.007827672
870,0.12132448,0.055042051,0.009559786,0.046380766,0.26469475,0.108141229,0.39485696
900,0.016671723,0.040800467,0.000137507,0.059731159,0.029570097,0.003632331,0.849456728
930,0.019141637,0.049396809,0.000192168,0.048526689,0.028551843,0.004576368,0.849614441
